session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
54,15852.0,7224.0,8628.0,8,28,-72776.0,-132268.0,1.59266101275411,0.984117251600168,0.7372569321045693,0.9887652183956595,0.8554040806495408,0.977069404455091
55,13881.5,7607.0,6274.5,20,26,-192393.0,-122393.0,1.4241945670449456,0.9943845601095487,0.795340502463405,0.9947283951822057,0.6288540645815407,0.9906259105494153
56,14308.0,6612.0,7696.0,-4,28,46612.0,-131807.0,1.4619959419419595,0.9979757541867902,0.6607264726212647,0.9971830163278907,0.8012694693206946,0.9960136696800582
57,16712.5,7408.0,9304.5,1,35,-2592.0,-166518.0,1.6789249352967492,0.9900916687341843,0.7304556410605564,0.9976854522443117,0.948469294236193,0.9727320405286195
58,15742.0,7199.0,8543.0,23,36,-222801.0,-173005.0,1.6075799759882998,0.9972970149739385,0.7305709427617094,0.9948911039690028,0.8770090332265903,0.9887885710155747
59,16089.0,8238.0,7851.0,14,13,-131762.0,-56811.0,1.5641425169289251,0.9964895961520807,0.7881209421452094,0.9952680355372858,0.7760215747837157,0.9926126583192004
60,12981.5,7317.0,5664.5,8,19,-72683.0,-87312.0,1.387649692928997,0.9960953812133831,0.75913499642535,0.9959434985898205,0.628514696503647,0.9893574741499073
61,15711.5,7442.0,8269.5,20,-5,-192558.0,33417.0,1.5784145432591454,0.9870735777478606,0.7388371516343715,0.9960561424934399,0.839577391624774,0.9642905972094259
62,12730.75,6507.0,6223.75,4,-7,-33493.0,41033.0,1.3234456515539565,0.9942472855823306,0.6572155700061557,0.9976122590272712,0.6662300815478008,0.9819465222375583
63,13713.75,7356.0,6357.75,10,37,-92644.0,-178004.0,1.42364799432148,0.9934982430655039,0.7340710727367107,0.9965428792124423,0.6895769215847692,0.9847703716979472
64,16331.0,8051.0,8280.0,-12,15,128051.0,-67305.0,1.6548392649663926,0.9970858389093242,0.8170203419742034,0.9946155530914795,0.8378189229921892,0.9791731418235717
65,15291.5,8116.0,7175.5,-23,42,238116.0,-201596.0,1.5718385320633854,0.9963426321075359,0.8293085795170858,0.9944834540563785,0.7425299525462995,0.9936526810880082
66,17707.75,7452.0,10255.75,-15,13,157452.0,-55846.0,1.8682300558018006,0.9921504718252182,0.7542242214062422,0.9968065397481916,1.1140058343955583,0.9744319810861987
67,16284.0,7386.0,8898.0,-1,10,17386.0,-41597.0,1.6615598442450985,0.998139871558314,0.7298113542381135,0.9958940086297423,0.9317484900069849,0.9965011283452444
68,16136.5,8395.0,7741.5,6,17,-51605.0,-78423.0,1.5829184791286848,0.9986715936474164,0.8400356152383561,0.9961017204849221,0.7428828638903286,0.9902625931925554
69,14000.25,8056.0,5944.25,23,29,-221944.0,-136888.0,1.4634619554861195,0.9875889056872731,0.8054423432424235,0.9960410875952227,0.6580196122436961,0.9599995574470738
70,14679.0,7016.0,7663.0,15,12,-142984.0,-52592.0,1.5407781568047816,0.9957162592050114,0.7277913926279139,0.9933432448365243,0.8129867641768677,0.9881014892828893
71,14912.0,8361.0,6551.0,-10,-30,108361.0,155531.0,1.494149700733497,0.9847615867939207,0.8629955764579558,0.9983999931836882,0.6311541242755413,0.9253601113666702
72,15804.0,7878.0,7926.0,18,9,-172122.0,-37668.0,1.5993255496892556,0.9983772007553993,0.8064701040607011,0.9962251262185371,0.7928554456285545,0.9962671879129232
73,14164.25,8302.0,5862.25,-26,27,268302.0,-128699.0,1.3758187570741875,0.9902599439172914,0.793380298987803,0.9952562222775327,0.5824384580863846,0.9658855595862301
74,15998.5,7584.0,8414.5,2,26,-12416.0,-121722.0,1.6487420885049209,0.9979556574570544,0.797126296149263,0.9964959161763817,0.8516157923556579,0.9932803893522985
75,12489.0,5777.0,6712.0,-3,14,35777.0,-62301.0,1.279364295472643,0.995366490519503,0.6045950777559508,0.9919814663912421,0.6747692177166922,0.9770027420580606
76,15945.75,7882.0,8063.75,18,23,-172118.0,-108345.0,1.5841521664890217,0.9986555213979164,0.783978508041785,0.9981958579021974,0.8001736584472365,0.9975074604859028
77,14817.75,7362.0,7455.75,-11,17,117362.0,-77642.0,1.4824777809902778,0.9659669264947298,0.7170072155460722,0.9950213433046907,0.7654705654442057,0.8901284875825586
