rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
95,TradervR1_lab_r18_05_p_entry_quality,TradervR1_lab_r17_01_a_quality_guard,pepper_entry_quality,289516.5,1474.0,-328.0,278.0,350.0,1543.3,102.1928,96407.5,16763.5,79644.0,823,96845.0,17477.0,79368.0,806,96264.0,16867.0,79397.0,786,-1330.9167,-6470.25,0.6667,-1330.9167,-6470.25
96,TradervR1_lab_r11_04_a_attack_tuning_a_local_fair_blend,TradervR1_47_2,"ash_attack_tuning,ash_local_fair_blend",288196.0,153.5,-1648.5,-120.5,284.5,88.565,88.565,96009.0,16365.0,79644.0,865,96327.0,16959.0,79368.0,852,95860.0,16463.0,79397.0,827,,,,,
97,TradervR1_lab_r08_01_a_quality_guard,TradervR1_42_O2_1,ash_quality_guard,288161.5,119.0,-1683.0,-107.0,333.0,54.91,54.91,96022.5,16378.5,79644.0,725,96443.0,17075.0,79368.0,718,95696.0,16299.0,79397.0,690,,,,,
98,TradervR1_lab_r09_02_a_quality_guard,TradervR1_42_O2_1,ash_quality_guard,288161.5,119.0,-1683.0,-107.0,333.0,54.91,54.91,96022.5,16378.5,79644.0,725,96443.0,17075.0,79368.0,718,95696.0,16299.0,79397.0,690,,,,,
99,TradervR1_lab_r13_05_a_quality_guard_p_entry_quality,TradervR1_42_O2_1,"ash_quality_guard,pepper_entry_quality",288161.5,119.0,-1683.0,-107.0,333.0,54.91,54.91,96022.5,16378.5,79644.0,725,96443.0,17075.0,79368.0,718,95696.0,16299.0,79397.0,690,,,,,
100,TradervR1_lab_r06_01_p_entry_quality_p_carry_defense,TradervR1_42_P1_1,"pepper_entry_quality,pepper_carry_defense",288042.5,0.0,-1802.0,0.0,0.0,0.0,0.0,96129.5,16485.5,79644.0,730,96217.0,16849.0,79368.0,708,95696.0,16299.0,79397.0,690,,,,,
101,TradervR1_lab_r10_05_a_quality_guard_p_entry_quality,TradervR1_34_1,"ash_quality_guard,pepper_entry_quality",288042.5,0.0,-1802.0,0.0,0.0,0.0,0.0,96129.5,16485.5,79644.0,730,96217.0,16849.0,79368.0,708,95696.0,16299.0,79397.0,690,,,,,
102,TradervR1_lab_r14_08_p_carry_defense,TradervR1_34_1,pepper_carry_defense,288042.5,0.0,-1802.0,0.0,0.0,0.0,0.0,96129.5,16485.5,79644.0,730,96217.0,16849.0,79368.0,708,95696.0,16299.0,79397.0,690,,,,,
103,TradervR1_lab_r15_03_p_entry_quality,TradervR1_34_1,pepper_entry_quality,288042.5,0.0,-1802.0,0.0,0.0,0.0,0.0,96129.5,16485.5,79644.0,730,96217.0,16849.0,79368.0,708,95696.0,16299.0,79397.0,690,,,,,
104,TradervR1_lab_r16_05_p_entry_quality,TradervR1_34_1,pepper_entry_quality,288042.5,0.0,-1802.0,0.0,0.0,0.0,0.0,96129.5,16485.5,79644.0,730,96217.0,16849.0,79368.0,708,95696.0,16299.0,79397.0,690,,,,,
105,TradervR1_lab_r17_04_a_quality_guard,TradervR1_34_1,ash_quality_guard,288042.5,0.0,-1802.0,0.0,0.0,0.0,0.0,96129.5,16485.5,79644.0,730,96217.0,16849.0,79368.0,708,95696.0,16299.0,79397.0,690,,,,,
106,TradervR1_lab_r11_08_p_entry_quality,TradervR1_34_1,pepper_entry_quality,288040.5,-2.0,-1804.0,-2.0,2.0,-2.86,-2.86,96129.5,16485.5,79644.0,730,96217.0,16849.0,79368.0,708,95694.0,16299.0,79395.0,690,,,,,
